"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TODO: 填写描述","77357","TODO: 填写标题","aircases.test_notes_create_folder.air","Thu Jun 26 18:49:37 CST 2025","passed","Thu Jun 26 18:50:55 CST 2025","","test_notes_create_folder","",""
"更多分享方式获取可根据当前办公本已下载app进行选择验证","45017","更多分享方式获取可根据当前办公本已下载app进行选择验证","aircases.test_note_export.air","Thu Jun 26 18:01:23 CST 2025","broken","Thu Jun 26 18:02:08 CST 2025","","test_note_export","",""
"编辑标题后，点击返回，保存笔记","55490","编辑标题后，点击返回，保存笔记","aircases.test_note_detail.air","Thu Jun 26 17:59:56 CST 2025","passed","Thu Jun 26 18:00:52 CST 2025","","test_note_detail","",""
"保存到本地，导出完成弹窗选项立即打开验证","31083","保存到本地，导出完成弹窗选项立即打开验证","aircases.test_note_export.air","Thu Jun 26 18:00:52 CST 2025","passed","Thu Jun 26 18:01:23 CST 2025","","test_note_export","",""
"依次勾选列表中的每条笔记的勾选框，最后执行","88937","依次勾选列表中的每条笔记的勾选框，最后执行","aircases.test_zbulk_operations.air","Thu Jun 26 19:24:34 CST 2025","passed","Thu Jun 26 19:26:03 CST 2025","","test_zbulk_operations","",""
"在deep seek进行的对话能够在AI助手页历史会话页面查看","41443","在deep seek进行的对话能够在AI助手页历史会话页面查看","aircases.test_ai_deepseek.air","Thu Jun 26 17:28:16 CST 2025","passed","Thu Jun 26 17:28:57 CST 2025","","test_ai_deepseek","",""
"默认模版二次确认弹窗点击取消，默认模版设置不生效校验","41579","默认模版二次确认弹窗点击取消，默认模版设置不生效校验","aircases.test_note_template.air","Thu Jun 26 18:21:18 CST 2025","passed","Thu Jun 26 18:22:00 CST 2025","","test_note_template","",""
"在中间页时，手指向左滑动画布","20493","在中间页时，手指向左滑动画布","aircases.test_note_tools.air","Thu Jun 26 18:35:20 CST 2025","passed","Thu Jun 26 18:35:41 CST 2025","","test_note_tools","",""
"选中自定义模版删除后焦点回到当前笔记应用的模版,默认选中并设置系统默认模版","77288","选中自定义模版删除后焦点回到当前笔记应用的模版,默认选中并设置系统默认模版","aircases.test_note_template.air","Thu Jun 26 18:27:42 CST 2025","passed","Thu Jun 26 18:28:59 CST 2025","","test_note_template","",""
"确认删除未下载文件未勾选同时删除本地文件，长按删除已下载的文件","9230","确认删除未下载文件未勾选同时删除本地文件，长按删除已下载的文件","aircases.test_file_transfer.air","Thu Jun 26 17:47:18 CST 2025","passed","Thu Jun 26 17:47:28 CST 2025","","test_file_transfer","",""
"按紧迫程度排序-今天","23051","按紧迫程度排序-今天","aircases.test_agent.air","Thu Jun 26 17:15:17 CST 2025","passed","Thu Jun 26 17:15:40 CST 2025","","test_agent","",""
"在笔记页AI进行的对话不能在AI助手页历史会话页面查看","47872","在笔记页AI进行的对话不能在AI助手页历史会话页面查看","aircases.test_ai_history.air","Thu Jun 26 17:32:23 CST 2025","passed","Thu Jun 26 17:33:11 CST 2025","","test_ai_history","",""
"使用AI助手对话时上传多个支持的文件后点击文件进行预览，依次预览，再依次删除","58575","使用AI助手对话时上传多个支持的文件后点击文件进行预览，依次预览，再依次删除","aircases.test_ai_upload.air","Thu Jun 26 17:37:25 CST 2025","passed","Thu Jun 26 17:38:24 CST 2025","","test_ai_upload","",""
"验证能否成功访问壁纸设置，验证能否选择图片，验证无图片可选择时的处理，添加新墙纸导入.txt文件","50040","验证能否成功访问壁纸设置，验证能否选择图片，验证无图片可选择时的处理，添加新墙纸导入.txt文件","aircases.test_wallpaper.air","Thu Jun 26 19:20:04 CST 2025","passed","Thu Jun 26 19:20:54 CST 2025","","test_wallpaper","",""
