"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"在第一页时，点击向左箭头，不新增页面","25950","在第一页时，点击向左箭头，不新增页面","aircases.test_note_tools.air","Thu Jun 26 18:34:54 CST 2025","passed","Thu Jun 26 18:35:20 CST 2025","","test_note_tools","",""
"登录未勾选隐私政策和用户协议","57450","登录未勾选隐私政策和用户协议","aircases.test_login.air","Thu Jun 26 17:55:05 CST 2025","passed","Thu Jun 26 17:56:02 CST 2025","","test_login","",""
"用笔按住AI图标拖至手写处，然后松手,点击复制按钮复制答案","56934","用笔按住AI图标拖至手写处，然后松手,点击复制按钮复制答案","aircases.test_ai.air","Thu Jun 26 17:22:42 CST 2025","passed","Thu Jun 26 17:23:39 CST 2025","","test_ai","",""
"语音输入模式下点击上传文件时会跳转到AI助手页","24450","语音输入模式下点击上传文件时会跳转到AI助手页","aircases.test_ai_deepseek.air","Thu Jun 26 17:28:57 CST 2025","passed","Thu Jun 26 17:29:22 CST 2025","","test_ai_deepseek","",""
"导出笔记至文件传输-打开目录","35452","导出笔记至文件传输-打开目录","aircases.test_file_transfer.air","Thu Jun 26 17:48:14 CST 2025","broken","Thu Jun 26 17:48:50 CST 2025","","test_file_transfer","",""
"更多设置，点击分享笔记，二维码自动生成验证","32793","更多设置，点击分享笔记，二维码自动生成验证","aircases.test_note_tools.air","Thu Jun 26 18:39:37 CST 2025","passed","Thu Jun 26 18:40:10 CST 2025","","test_note_tools","",""
"按紧迫程度排序-当前时间与待办时间相差24小时的待办，再按创建时间排序","18038","按紧迫程度排序-当前时间与待办时间相差24小时的待办，再按创建时间排序","aircases.test_agent.air","Thu Jun 26 17:15:40 CST 2025","broken","Thu Jun 26 17:15:58 CST 2025","","test_agent","",""
"我的笔记，默认是列表模式的样式,点击右侧的更多按钮，显示分享笔记、移动分组、重命名、编辑标签、加密笔记、删除按钮","38012","我的笔记，默认是列表模式的样式,点击右侧的更多按钮，显示分享笔记、移动分组、重命名、编辑标签、加密笔记、删除按钮","aircases.test_list_style.air","Thu Jun 26 17:51:19 CST 2025","passed","Thu Jun 26 17:51:57 CST 2025","","test_list_style","",""
"自定义模版列表模版倒序排列显示校验，点击更多，查看操作","72417","自定义模版列表模版倒序排列显示校验，点击更多，查看操作","aircases.test_note_template.air","Thu Jun 26 18:26:30 CST 2025","passed","Thu Jun 26 18:27:42 CST 2025","","test_note_template","",""
"新建文件夹内笔记删除后在回收站恢复验证","82652","新建文件夹内笔记删除后在回收站恢复验证","aircases.test_recycle_bin_recovery.air","Thu Jun 26 19:06:35 CST 2025","passed","Thu Jun 26 19:07:58 CST 2025","","test_recycle_bin_recovery","",""
"待办列表新增待办，选择日期时间并选择待办提醒，查看待办提醒","18384","待办列表新增待办，选择日期时间并选择待办提醒，查看待办提醒","aircases.test_agent.air","Thu Jun 26 17:16:02 CST 2025","broken","Thu Jun 26 17:16:20 CST 2025","","test_agent","",""
"新建一条代办，重点关注，清空待办所有内容确定，提示无法保存，不能为空","40149","新建一条代办，重点关注，清空待办所有内容确定，提示无法保存，不能为空","aircases.test_focus_on_agent.air","Thu Jun 26 17:48:56 CST 2025","passed","Thu Jun 26 17:49:37 CST 2025","","test_focus_on_agent","",""
"产品周报页上传文件过程中返回会有test提示","30374","产品周报页上传文件过程中返回会有test提示","aircases.test_ai_upload.air","Thu Jun 26 17:35:54 CST 2025","passed","Thu Jun 26 17:36:24 CST 2025","","test_ai_upload","",""
"查看删除文件夹","22751","查看删除文件夹","aircases.test_recycle_bin.air","Thu Jun 26 19:04:12 CST 2025","passed","Thu Jun 26 19:04:35 CST 2025","","test_recycle_bin","",""
"二次确认弹窗点击确认后，关联的笔记不再显示该标签验证","53705","二次确认弹窗点击确认后，关联的笔记不再显示该标签验证","aircases.test_note_tag.air","Thu Jun 26 18:17:15 CST 2025","passed","Thu Jun 26 18:18:08 CST 2025","","test_note_tag","",""
"用手点击AI按钮,AI会话窗页面显示","29955","用手点击AI按钮,AI会话窗页面显示","aircases.test_ai.air","Thu Jun 26 17:22:12 CST 2025","passed","Thu Jun 26 17:22:42 CST 2025","","test_ai","",""
"新建笔记首次进入笔记系统模版默认模版为“行距纸”校验","46757","新建笔记首次进入笔记系统模版默认模版为“行距纸”校验","aircases.test_note_template.air","Thu Jun 26 18:23:56 CST 2025","passed","Thu Jun 26 18:24:43 CST 2025","","test_note_template","",""
"新建笔记，不同位置插入文字","33809","新建笔记，不同位置插入文字","aircases.test_note_tools.air","Thu Jun 26 18:37:51 CST 2025","passed","Thu Jun 26 18:38:25 CST 2025","","test_note_tools","",""
"上下分屏滚动保存笔记后搜索","51857","上下分屏滚动保存笔记后搜索","aircases.test_notes_split_screen.air","Thu Jun 26 18:54:05 CST 2025","passed","Thu Jun 26 18:54:57 CST 2025","","test_notes_split_screen","",""
"图片编辑页点击右上角取消按钮，图片导入失败校验","50905","图片编辑页点击右上角取消按钮，图片导入失败校验","aircases.test_note_template.air","Thu Jun 26 18:25:32 CST 2025","broken","Thu Jun 26 18:26:23 CST 2025","","test_note_template","",""
"新建笔记，插入文字，加入待办 ","37698","新建笔记，插入文字，加入待办 ","aircases.test_note_tools.air","Thu Jun 26 18:38:25 CST 2025","passed","Thu Jun 26 18:39:02 CST 2025","","test_note_tools","",""
"在首页AI进行的对话能够在AI助手页历史会话页面查看","15447","在首页AI进行的对话能够在AI助手页历史会话页面查看","aircases.test_ai_history.air","Thu Jun 26 17:31:55 CST 2025","broken","Thu Jun 26 17:32:10 CST 2025","","test_ai_history","",""
"点击重新提取按钮,点击举报按钮，弹出举报弹窗,在举报弹窗中勾选选项、文本框输入内容","59154","点击重新提取按钮,点击举报按钮，弹出举报弹窗,在举报弹窗中勾选选项、文本框输入内容","aircases.test_ai.air","Thu Jun 26 17:26:04 CST 2025","passed","Thu Jun 26 17:27:03 CST 2025","","test_ai","",""
"TODO: 填写描述","32244","TODO: 填写标题","aircases.test_note_page.air","Thu Jun 26 18:04:16 CST 2025","passed","Thu Jun 26 18:04:48 CST 2025","","test_note_page","",""
"设置默认模版后不影响 现有笔记已设置的模版校验","116340","设置默认模版后不影响 现有笔记已设置的模版校验","aircases.test_note_template.air","Thu Jun 26 18:22:00 CST 2025","passed","Thu Jun 26 18:23:56 CST 2025","","test_note_template","",""
"使用AI助手对话时上传单个支持的文件后点击文件进行预览，多次预览","73381","使用AI助手对话时上传单个支持的文件后点击文件进行预览，多次预览","aircases.test_ai_upload.air","Thu Jun 26 17:38:50 CST 2025","passed","Thu Jun 26 17:40:03 CST 2025","","test_ai_upload","",""
"断网情况下，创建待办，创建完成后重新联网","42075","断网情况下，创建待办，创建完成后重新联网","aircases.test_agent.air","Thu Jun 26 17:16:23 CST 2025","passed","Thu Jun 26 17:17:05 CST 2025","","test_agent","",""
"ai回答点击摘录到手写区，并进行编辑","46375","ai回答点击摘录到手写区，并进行编辑","aircases.test_ai.air","Thu Jun 26 17:23:39 CST 2025","passed","Thu Jun 26 17:24:25 CST 2025","","test_ai","",""
"已登录账号创建的笔记，退出登录后，创建的笔记不会显示在笔记列表中","62102","已登录账号创建的笔记，退出登录后，创建的笔记不会显示在笔记列表中","aircases.test_aalogin_data_auth.air","Thu Jun 26 17:09:51 CST 2025","passed","Thu Jun 26 17:10:53 CST 2025","","test_aalogin_data_auth","",""
"网页分享配置密码后打开h5分享页需要密码验证","88877","网页分享配置密码后打开h5分享页需要密码验证","aircases.test_note_tools.air","Thu Jun 26 18:40:10 CST 2025","passed","Thu Jun 26 18:41:39 CST 2025","","test_note_tools","",""
"非文件夹内新建笔记删除功能验证（全部笔记tab下）","34629","非文件夹内新建笔记删除功能验证（全部笔记tab下）","aircases.test_recycle_bin.air","Thu Jun 26 19:01:40 CST 2025","passed","Thu Jun 26 19:02:14 CST 2025","","test_recycle_bin","",""
"书写待办","22340","书写待办","aircases.test_agent.air","Thu Jun 26 17:13:33 CST 2025","passed","Thu Jun 26 17:13:56 CST 2025","","test_agent","",""
"新建笔记，插入文字，修改插入的文字","35091","新建笔记，插入文字，修改插入的文字","aircases.test_note_tools.air","Thu Jun 26 18:39:02 CST 2025","passed","Thu Jun 26 18:39:37 CST 2025","","test_note_tools","",""
"长按标签点击标签菜单栏中删除后选择确认","47456","长按标签点击标签菜单栏中删除后选择确认","aircases.test_note_tag.air","Thu Jun 26 18:11:31 CST 2025","passed","Thu Jun 26 18:12:18 CST 2025","","test_note_tag","",""
"在第一页时，更多设置里插入页面，","27985","在第一页时，更多设置里插入页面，","aircases.test_note_tools.air","Thu Jun 26 18:34:26 CST 2025","passed","Thu Jun 26 18:34:54 CST 2025","","test_note_tools","",""
"插入不同格式的图片，jpg，并删除图片","28784","插入不同格式的图片，jpg，并删除图片","aircases.test_note_tools.air","Thu Jun 26 18:35:41 CST 2025","passed","Thu Jun 26 18:36:09 CST 2025","","test_note_tools","",""
"在笔记详情页点击拍照，拍照保存","28525","在笔记详情页点击拍照，拍照保存","aircases.test_note_tools.air","Thu Jun 26 18:37:22 CST 2025","passed","Thu Jun 26 18:37:51 CST 2025","","test_note_tools","",""
"文件夹内笔记删除功能验证","59678","文件夹内笔记删除功能验证","aircases.test_recycle_bin.air","Thu Jun 26 19:02:14 CST 2025","passed","Thu Jun 26 19:03:14 CST 2025","","test_recycle_bin","",""
"打开微信读书，搜索书籍","29704","打开微信读书，搜索书籍","aircases.test_reading.air","Thu Jun 26 19:00:18 CST 2025","passed","Thu Jun 26 19:00:48 CST 2025","","test_reading","",""
"新增超长文本内容待办","13477","新增超长文本内容待办","aircases.test_agent.air","Thu Jun 26 17:19:01 CST 2025","passed","Thu Jun 26 17:19:14 CST 2025","","test_agent","",""
"法律顾问页上传文件过程中返回会有test提示","29947","法律顾问页上传文件过程中返回会有test提示","aircases.test_ai_upload.air","Thu Jun 26 17:34:54 CST 2025","passed","Thu Jun 26 17:35:24 CST 2025","","test_ai_upload","",""
"清空页面 - 确定,内容清除后，返回列表再进入，不显示已清除的内容","41468","清空页面 - 确定,内容清除后，返回列表再进入，不显示已清除的内容","aircases.test_note_page.air","Thu Jun 26 18:02:50 CST 2025","passed","Thu Jun 26 18:03:32 CST 2025","","test_note_page","",""
"已转写富文本点击回撤，文案整体支持回撤验证,笔记删除再恢复，富文本文案编辑后支持回撤验证","88837","已转写富文本点击回撤，文案整体支持回撤验证,笔记删除再恢复，富文本文案编辑后支持回撤验证","aircases.test_note_rich_text.air","Thu Jun 26 18:08:55 CST 2025","passed","Thu Jun 26 18:10:24 CST 2025","","test_note_rich_text","",""
"微信传输确认删除已下载成功文件","24331","微信传输确认删除已下载成功文件","aircases.test_file_transfer.air","Thu Jun 26 17:47:28 CST 2025","passed","Thu Jun 26 17:47:52 CST 2025","","test_file_transfer","",""
"批量处理入口，第一行显示全选/取消全选、移动、删除、退出按钮，全选框未勾选时，移动、删除按钮不可点击，点击退出批量处理按钮，退出批量处理模式，最后执行","19803","批量处理入口，第一行显示全选/取消全选、移动、删除、退出按钮，全选框未勾选时，移动、删除按钮不可点击，点击退出批量处理按钮，退出批量处理模式，最后执行","aircases.test_zbulk_operations.air","Thu Jun 26 19:20:54 CST 2025","passed","Thu Jun 26 19:21:14 CST 2025","","test_zbulk_operations","",""
"网页分享配置密码后打开h5分享页不需要密码验证","64169","网页分享配置密码后打开h5分享页不需要密码验证","aircases.test_note_tools.air","Thu Jun 26 18:41:39 CST 2025","broken","Thu Jun 26 18:42:43 CST 2025","","test_note_tools","",""
"点击批量处理,勾选列表中单条笔记的选择框后，可删除","42425","点击批量处理,勾选列表中单条笔记的选择框后，可删除","aircases.test_zbulk_operations.air","Thu Jun 26 19:23:52 CST 2025","passed","Thu Jun 26 19:24:34 CST 2025","","test_zbulk_operations","",""
"删除设置日期的待办","17951","删除设置日期的待办","aircases.test_agent.air","Thu Jun 26 17:14:59 CST 2025","passed","Thu Jun 26 17:15:17 CST 2025","","test_agent","",""
"当前文件夹可创建多级树形子文件夹验证，十级","102620","当前文件夹可创建多级树形子文件夹验证，十级","aircases.test_notes_create_folder.air","Thu Jun 26 18:45:59 CST 2025","passed","Thu Jun 26 18:47:42 CST 2025","","test_notes_create_folder","",""
"笔记列表文件夹批量移动验证","58889","笔记列表文件夹批量移动验证","aircases.test_ufolder_move.air","Thu Jun 26 19:19:05 CST 2025","passed","Thu Jun 26 19:20:04 CST 2025","","test_ufolder_move","",""
"笔记页面显示（未登录账号）","33485","笔记页面显示（未登录账号）","aircases.test_notes_init.air","Thu Jun 26 18:50:55 CST 2025","passed","Thu Jun 26 18:51:28 CST 2025","","test_notes_init","",""
"连接wifi时，微信已绑定文件传输，从微信端选择多种格式的文件发送到办公本","17361","连接wifi时，微信已绑定文件传输，从微信端选择多种格式的文件发送到办公本","aircases.test_file_transfer.air","Thu Jun 26 17:47:01 CST 2025","passed","Thu Jun 26 17:47:18 CST 2025","","test_file_transfer","",""
"点击历史会话的文件在云端时下载后点击直接打开，文件上传后预览","49822","点击历史会话的文件在云端时下载后点击直接打开，文件上传后预览","aircases.test_ai_history.air","Thu Jun 26 17:31:05 CST 2025","passed","Thu Jun 26 17:31:55 CST 2025","","test_ai_history","",""
"文件删除二次确认","41410","文件删除二次确认","aircases.test_list_style.air","Thu Jun 26 17:54:23 CST 2025","passed","Thu Jun 26 17:55:05 CST 2025","","test_list_style","",""
"无标签笔记详情页点标题后下方显示笔记分组和添加标签,点击标题后点击添加标签","36008","无标签笔记详情页点标题后下方显示笔记分组和添加标签,点击标题后点击添加标签","aircases.test_note_tag.air","Thu Jun 26 18:12:18 CST 2025","passed","Thu Jun 26 18:12:54 CST 2025","","test_note_tag","",""
"上传单个文件过程中点击×后删除文件","26696","上传单个文件过程中点击×后删除文件","aircases.test_ai_upload.air","Thu Jun 26 17:42:37 CST 2025","passed","Thu Jun 26 17:43:04 CST 2025","","test_ai_upload","",""
"上下分屏时使用AI助手","49784","上下分屏时使用AI助手","aircases.test_notes_split_screen.air","Thu Jun 26 18:54:57 CST 2025","passed","Thu Jun 26 18:55:47 CST 2025","","test_notes_split_screen","",""
"微信传输已下载文件移至书架","22450","微信传输已下载文件移至书架","aircases.test_file_transfer.air","Thu Jun 26 17:47:52 CST 2025","passed","Thu Jun 26 17:48:14 CST 2025","","test_file_transfer","",""
"中英翻译助手页上传文件过程中返回会有test提示","29895","中英翻译助手页上传文件过程中返回会有test提示","aircases.test_ai_upload.air","Thu Jun 26 17:34:24 CST 2025","passed","Thu Jun 26 17:34:54 CST 2025","","test_ai_upload","",""
"有标签笔记进入详情页点击标题后点击默认分组后进入分组编辑页,修改分组后在添加标签","23332","有标签笔记进入详情页点击标题后点击默认分组后进入分组编辑页,修改分组后在添加标签","aircases.test_note_tag.air","Thu Jun 26 18:12:54 CST 2025","broken","Thu Jun 26 18:13:17 CST 2025","","test_note_tag","",""
"分享设置入口验证","49685","分享设置入口验证","aircases.test_share_note.air","Thu Jun 26 19:14:43 CST 2025","passed","Thu Jun 26 19:15:33 CST 2025","","test_share_note","",""
"点击赞图标按钮，弹出反馈信息弹窗,在反馈弹窗中勾选选项、文本框输入内容","50160","点击赞图标按钮，弹出反馈信息弹窗,在反馈弹窗中勾选选项、文本框输入内容","aircases.test_ai.air","Thu Jun 26 17:24:25 CST 2025","passed","Thu Jun 26 17:25:15 CST 2025","","test_ai","",""
"图片编辑页裁剪比例可调整校验","49061","图片编辑页裁剪比例可调整校验","aircases.test_note_template.air","Thu Jun 26 18:24:43 CST 2025","passed","Thu Jun 26 18:25:32 CST 2025","","test_note_template","",""
"开启阅读模式,打开文档开启阅读模式和护眼模式文档阅读，开启阅读模式但关闭护眼模式文档阅读","48420","开启阅读模式,打开文档开启阅读模式和护眼模式文档阅读，开启阅读模式但关闭护眼模式文档阅读","aircases.test_reading.air","Thu Jun 26 18:59:26 CST 2025","broken","Thu Jun 26 19:00:15 CST 2025","","test_reading","",""
"删除所有待办","25689","删除所有待办","aircases.test_agent.air","Thu Jun 26 17:20:22 CST 2025","passed","Thu Jun 26 17:20:48 CST 2025","","test_agent","",""
"笔记详情页（重命名）移动分组入口创建文件夹验证 ","71807","笔记详情页（重命名）移动分组入口创建文件夹验证 ","aircases.test_notes_create_folder.air","Thu Jun 26 18:44:47 CST 2025","passed","Thu Jun 26 18:45:59 CST 2025","","test_notes_create_folder","",""
"上传五个文件过程中网络异常弹出提示","79514","上传五个文件过程中网络异常弹出提示","aircases.test_ai_upload.air","Thu Jun 26 17:45:41 CST 2025","passed","Thu Jun 26 17:47:01 CST 2025","","test_ai_upload","",""
"点击移动文件夹弹出移动小弹窗，在弹窗中点击新建文件夹，移动笔记","71132","点击移动文件夹弹出移动小弹窗，在弹窗中点击新建文件夹，移动笔记","aircases.test_list_style.air","Thu Jun 26 17:51:57 CST 2025","passed","Thu Jun 26 17:53:08 CST 2025","","test_list_style","",""
"业务分析与预测页上传文件过程中返回会有test提示","29734","业务分析与预测页上传文件过程中返回会有test提示","aircases.test_ai_upload.air","Thu Jun 26 17:35:24 CST 2025","passed","Thu Jun 26 17:35:54 CST 2025","","test_ai_upload","",""
"按紧迫程度排序-待办-还有十天以上，再按创建时间排序","17935","按紧迫程度排序-待办-还有十天以上，再按创建时间排序","aircases.test_agent.air","Thu Jun 26 17:17:42 CST 2025","broken","Thu Jun 26 17:18:00 CST 2025","","test_agent","",""
"笔记列表右侧菜单功能校验-文件夹移动分组","73408","笔记列表右侧菜单功能校验-文件夹移动分组","aircases.test_notes_create_folder.air","Thu Jun 26 18:48:24 CST 2025","passed","Thu Jun 26 18:49:37 CST 2025","","test_notes_create_folder","",""
"笔记列表右侧菜单功能校验-文件夹重命名，然后删除","42042","笔记列表右侧菜单功能校验-文件夹重命名，然后删除","aircases.test_notes_create_folder.air","Thu Jun 26 18:47:42 CST 2025","passed","Thu Jun 26 18:48:24 CST 2025","","test_notes_create_folder","",""
"上传文件进入对话后在“文件正在上传中”点击取消","57642","上传文件进入对话后在“文件正在上传中”点击取消","aircases.test_ai_upload.air","Thu Jun 26 17:41:03 CST 2025","passed","Thu Jun 26 17:42:01 CST 2025","","test_ai_upload","",""
"TODO: 填写描述","44020","TODO: 填写标题","aircases.test_note_page.air","Thu Jun 26 18:03:32 CST 2025","passed","Thu Jun 26 18:04:16 CST 2025","","test_note_page","",""
"未登录账号创建的笔记，登录账号时，会自动合并到账号中","60603","未登录账号创建的笔记，登录账号时，会自动合并到账号中","aircases.test_aalogin_data_auth.air","Thu Jun 26 17:10:53 CST 2025","passed","Thu Jun 26 17:11:54 CST 2025","","test_aalogin_data_auth","",""
"未登录账号-阅读应用初始化页面,三个tab页签可来回切换，导入文档","46436","未登录账号-阅读应用初始化页面,三个tab页签可来回切换，导入文档","aircases.test_reading.air","Thu Jun 26 18:55:47 CST 2025","passed","Thu Jun 26 18:56:33 CST 2025","","test_reading","",""
"在待处理列表设置代办重点关注，会同步到重点标记列表中","23603","待处理列表设置代办重点关注，会同步到重点标记列表中","aircases.test_agent.air","Thu Jun 26 17:19:58 CST 2025","broken","Thu Jun 26 17:20:22 CST 2025","","test_agent","",""
"上传五个文件成功后点击×后删除单个文件，然后删除全部文件","47778","上传五个文件成功后点击×后删除单个文件，然后删除全部文件","aircases.test_ai_upload.air","Thu Jun 26 17:44:54 CST 2025","passed","Thu Jun 26 17:45:41 CST 2025","","test_ai_upload","",""
"笔记列表页笔记标签显示为蓝色字体验证，标签列表取消标签后，笔记列表不再显示已取消的标签验证","68879","笔记列表页笔记标签显示为蓝色字体验证，标签列表取消标签后，笔记列表不再显示已取消的标签验证","aircases.test_note_tag.air","Thu Jun 26 18:13:24 CST 2025","passed","Thu Jun 26 18:14:33 CST 2025","","test_note_tag","",""
"新建笔记批量删除恢复","93728","新建笔记批量删除恢复","aircases.test_recycle_bin_recovery.air","Thu Jun 26 19:07:58 CST 2025","passed","Thu Jun 26 19:09:32 CST 2025","","test_recycle_bin_recovery","",""
"在重点标记列表中修改待办内容，会同步到全部待办列表中","28690","在重点标记列表中修改待办内容，会同步到全部待办列表中","aircases.test_focus_on_agent.air","Thu Jun 26 17:49:37 CST 2025","passed","Thu Jun 26 17:50:05 CST 2025","","test_focus_on_agent","",""
"将默认文件夹中的笔记移动到新建的文件夹下(新建分组，新建一个文件夹创建笔记，在移动笔记到另一个新建的文件夹下）","75372","将默认文件夹中的笔记移动到新建的文件夹下(新建分组，新建一个文件夹创建笔记，在移动笔记到另一个新建的文件夹下）","aircases.test_list_style.air","Thu Jun 26 17:53:08 CST 2025","broken","Thu Jun 26 17:54:23 CST 2025","","test_list_style","",""
"无网络时，点击发送验证码","97947","无网络时，点击发送验证码","aircases.test_login.air","Thu Jun 26 17:58:18 CST 2025","passed","Thu Jun 26 17:59:56 CST 2025","","test_login","",""
"可在色板中多次点选，最后一次点选的颜色生效","81421","可在色板中多次点选，最后一次点选的颜色生效","aircases.test_note_tools.air","Thu Jun 26 18:32:50 CST 2025","passed","Thu Jun 26 18:34:11 CST 2025","","test_note_tools","",""
"TODO: 填写描述","18579","TODO: 填写标题","aircases.test_note_page.air","Thu Jun 26 18:04:48 CST 2025","passed","Thu Jun 26 18:05:06 CST 2025","","test_note_page","",""
"分屏后，滑动浏览页面，完整显示会后总结","43887","分屏后，滑动浏览页面，完整显示会后总结","aircases.test_notes_split_screen.air","Thu Jun 26 18:53:21 CST 2025","passed","Thu Jun 26 18:54:05 CST 2025","","test_notes_split_screen","",""
"上传单个文件成功后点击×后删除文件","36300","上传单个文件成功后点击×后删除文件","aircases.test_ai_upload.air","Thu Jun 26 17:42:01 CST 2025","passed","Thu Jun 26 17:42:37 CST 2025","","test_ai_upload","",""
"自定义模版重命名 名称上限40为字符，不限类型","84527","自定义模版重命名 名称上限40为字符，不限类型","aircases.test_note_template.air","Thu Jun 26 18:30:26 CST 2025","passed","Thu Jun 26 18:31:50 CST 2025","","test_note_template","",""
"点击通过文件传输导入","29695","点击通过文件传输导入","aircases.test_reading.air","Thu Jun 26 18:58:57 CST 2025","passed","Thu Jun 26 18:59:26 CST 2025","","test_reading","",""
"已登录账号，有笔记","38791","已登录账号，有笔记","aircases.test_notes_init.air","Thu Jun 26 18:51:28 CST 2025","passed","Thu Jun 26 18:52:07 CST 2025","","test_notes_init","",""
"产品起名页上传文件过程中返回会有test提示","30420","产品起名页上传文件过程中返回会有test提示","aircases.test_ai_upload.air","Thu Jun 26 17:36:24 CST 2025","passed","Thu Jun 26 17:36:55 CST 2025","","test_ai_upload","",""
"在设置中，手写笔操作中默认选中的是套索功能","14744","在设置中，手写笔操作中默认选中的是套索功能","aircases.test_note_tools.air","Thu Jun 26 18:34:11 CST 2025","passed","Thu Jun 26 18:34:26 CST 2025","","test_note_tools","",""
"笔记列表，文件夹批量删除，回收站可查看验证","51855","笔记列表，文件夹批量删除，回收站可查看验证","aircases.test_recycle_bin.air","Thu Jun 26 19:04:35 CST 2025","passed","Thu Jun 26 19:05:27 CST 2025","","test_recycle_bin","",""
"笔记内删除笔记","14514","笔记内删除笔记","aircases.test_note_tools.air","Thu Jun 26 18:42:50 CST 2025","passed","Thu Jun 26 18:43:05 CST 2025","","test_note_tools","",""
"办公本有历史会话时点击AI助手历史会话后加载失败弹出test","39736","办公本有历史会话时点击AI助手历史会话后加载失败弹出test","aircases.test_ai_history.air","Thu Jun 26 17:30:25 CST 2025","passed","Thu Jun 26 17:31:05 CST 2025","","test_ai_history","",""
"TODO: 填写描述","40405","TODO: 填写标题","aircases.test_note_page.air","Thu Jun 26 18:06:17 CST 2025","passed","Thu Jun 26 18:06:58 CST 2025","","test_note_page","",""
"当前分组下创建文件夹，文件夹所在分组校验","29195","当前分组下创建文件夹，文件夹所在分组校验","aircases.test_notes_create_folder.air","Thu Jun 26 18:43:05 CST 2025","passed","Thu Jun 26 18:43:34 CST 2025","","test_notes_create_folder","",""
